"s","condition","cell_type","tau"
"1","fast","SPN",NA
"2","fast","SPN",NA
"3","fast","SPN",30
"4","fast","SPN",26.226
"5","fast","SPN",8.868
"6","fast","SPN",8.363
"7","fast","SPN",5.363
"1","slow","SPN",220.487
"2","slow","SPN",294.826
"3","slow","SPN",384.282
"4","slow","SPN",302.065
"5","slow","SPN",135.323
"6","slow","SPN",313.42
"7","slow","SPN",259.408
