"s","condition","cell_type","amplitude"
"1","fast","dSPN",0
"2","fast","dSPN",0
"3","fast","dSPN",-199.125
"4","fast","dSPN",-171.35
"5","fast","dSPN",-23.617
"6","fast","dSPN",-81.882
"7","fast","dSPN",-153.808
"1","slow","dSPN",-83.338
"2","slow","dSPN",-132.38
"3","slow","dSPN",-350.525
"4","slow","dSPN",-241.536
"5","slow","dSPN",-47.292
"6","slow","dSPN",-162.242
"7","slow","dSPN",-146.833
