"x","y","yfilter","yfit","yfit1","yfit2"
0,-1.91596670587146,-1.91596670587146,0,0,0
0.1,-0.988232374936478,-0.988232374936478,0,0,0
0.2,-2.16010731927541,-2.16010731927541,0,0,0
0.3,-1.06147455895766,-1.06147455895766,0,0,0
0.4,0.159228508062053,0.159228508062053,0,0,0
0.5,-0.93940425225569,-0.93940425225569,0,0,0
0.6,-1.86713858319068,-1.86713858319068,0,0,0
0.7,-1.3056151723616,-1.3056151723616,0,0,0
0.8,-0.939404252255691,-0.939404252255691,0,0,0
0.9,-1.47651360174437,-1.47651360174437,0,0,0
1,-1.330029233702,-1.330029233702,0,0,0
1.1,-0.914990190915293,-0.914990190915293,0,0,0
1.2,-2.52631823938132,-2.52631823938132,0,0,0
1.3,-2.89252915948723,-2.89252915948723,0,0,0
1.4,-2.86811509814684,-2.86811509814684,0,0,0
1.5,-1.33002923370201,-1.33002923370201,0,0,0
1.6,-0.939404252255692,-0.939404252255692,0,0,0
1.7,-1.330029233702,-1.330029233702,0,0,0
1.8,-1.08588862029805,-1.08588862029805,0,0,0
1.9,-1.13471674297885,-1.13471674297885,0,0,0
2,-2.06245107391383,-2.06245107391383,0,0,0
2.1,-2.81928697546605,-2.81928697546605,0,0,0
2.2,-1.52534172442516,-1.52534172442516,0,0,0
2.3,-2.1845213806158,-2.1845213806158,0,0,0
2.4,-1.86713858319068,-1.86713858319068,0,0,0
2.5,-1.98920888989264,-1.98920888989264,0,0,0
2.6,-1.7694823378291,-1.7694823378291,0,0,0
2.7,-0.622021454830563,-0.622021454830563,0,0,0
2.8,-0.573193332149776,-0.573193332149776,0,0,0
2.9,-1.30561517236161,-1.30561517236161,0,0,0
3,-3.25874007959315,-3.25874007959315,0,0,0
3.1,-1.25678704968082,-1.25678704968082,0,0,0
3.2,-0.597607393490169,-0.597607393490169,0,0,0
3.3,-0.280224596065048,-0.280224596065048,0,0,0
3.4,0.256884753423629,0.256884753423629,0,0,0
3.5,0.0371582013600809,0.0371582013600809,0,0,0
3.6,0.208056630742845,0.208056630742845,0,0,0
3.7,0.012744140019691,0.012744140019691,0,0,0
3.8,-0.524365209468984,-0.524365209468984,0,0,0
3.9,-0.548779270809383,-0.548779270809383,0,0,0
4,-1.25678704968081,-1.25678704968081,0,0,0
4.1,0.208056630742842,0.208056630742842,0,0,0
4.2,0.354540998785202,0.354540998785202,0,0,0
4.3,-1.13471674297886,-1.13471674297886,0,0,0
4.4,-0.695263638851746,-0.695263638851746,0,0,0
4.5,0.671923796210335,0.671923796210335,0,0,0
4.6,0.525439428167971,0.525439428167971,0,0,0
4.7,-1.23237298834042,-1.23237298834042,0,0,0
4.8,-0.573193332149772,-0.573193332149772,0,0,0
4.9,0.330126937444816,0.330126937444816,0,0,0
5,-2.30659168731777,-2.30659168731777,0,0,0
5.1,-1.11030268163845,-1.11030268163845,0,0,0
5.2,-0.206982412043861,-0.206982412043861,0,0,0
5.3,0.159228508062049,0.159228508062049,0,0,0
5.4,-0.524365209468987,-0.524365209468987,0,0,0
5.5,-1.74506827648871,-1.74506827648871,0,0,0
5.6,-1.98920888989265,-1.98920888989265,0,0,0
5.7,-1.47651360174437,-1.47651360174437,0,0,0
5.8,-1.23237298834043,-1.23237298834043,0,0,0
5.9,-0.377880841426618,-0.377880841426618,0,0,0
6,0.916064409614278,0.916064409614278,0,0,0
6.1,0.964892532295067,0.964892532295067,0,0,0
6.2,0.378955060125603,0.378955060125603,0,0,0
6.3,-0.329052718745832,-0.329052718745832,0,0,0
6.4,-0.622021454830561,-0.622021454830561,0,0,0
6.5,-1.06147455895766,-1.06147455895766,0,0,0
6.6,-1.3544432950424,-1.3544432950424,0,0,0
6.7,-0.524365209468989,-0.524365209468989,0,0,0
6.8,-0.939404252255688,-0.939404252255688,0,0,0
6.9,-1.47651360174437,-1.47651360174437,0,0,0
7,-2.47749011670053,-2.47749011670053,0,0,0
7.1,-1.30561517236161,-1.30561517236161,0,0,0
7.2,-0.890576129574904,-0.890576129574904,0,0,0
7.3,0.0615722627004767,0.0615722627004767,0,0,0
7.4,0.281298814764025,0.281298814764025,0,0,0
7.5,-0.914990190915293,-0.914990190915293,0,0,0
7.6,-1.69624015380791,-1.69624015380791,0,0,0
7.7,-2.33100574865816,-2.33100574865816,0,0,0
7.8,-1.7694823378291,-1.7694823378291,0,0,0
7.9,-1.330029233702,-1.330029233702,0,0,0
8,-1.37885735638279,-1.37885735638279,0,0,0
8.1,-0.8905761295749,-0.8905761295749,0,0,0
8.2,-0.426708964107409,-0.426708964107409,0,0,0
8.3,0.720751918891128,0.720751918891128,0,0,0
8.4,-0.37788084142662,-0.37788084142662,0,0,0
8.5,-1.20795892700003,-1.20795892700003,0,0,0
8.6,-1.47651360174437,-1.47651360174437,0,0,0
8.7,-1.57416984710595,-1.57416984710595,0,0,0
8.8,-0.499951148128593,-0.499951148128593,0,0,0
8.9,0.378955060125607,0.378955060125607,0,0,0
9,0.57426755084876,0.57426755084876,0,0,0
9.1,0.0127441400196924,0.0127441400196924,0,0,0
9.2,0.403369121465993,0.403369121465993,0,0,0
9.3,0.208056630742842,0.208056630742842,0,0,0
9.4,-1.01264643627688,-1.01264643627688,0,0,0
9.5,0.183642569402449,0.183642569402449,0,0,0
9.6,0.59868161218915,0.59868161218915,0,0,0
9.7,-0.231396473384259,-0.231396473384259,0,0,0
9.8,0.134814446721663,0.134814446721663,0,0,0
9.9,0.0127441400196853,0.0127441400196853,0,0,0
10,-0.695263638851747,-0.695263638851747,0,0,0
10.1,-1.01264643627687,-1.01264643627687,0,0,0
10.2,-2.01362295123304,-2.01362295123304,0,0,0
10.3,-0.914990190915295,-0.914990190915295,0,0,0
10.4,0.501025366827574,0.501025366827574,0,0,0
10.5,0.525439428167966,0.525439428167966,0,0,0
10.6,0.525439428167963,0.525439428167963,0,0,0
10.7,0.989306593635462,0.989306593635462,0,0,0
10.8,-0.59760739349017,-0.59760739349017,0,0,0
10.9,-0.329052718745832,-0.329052718745832,0,0,0
11,-1.54975578576555,-1.54975578576555,0,0,0
11.1,-1.18354486565964,-1.18354486565964,0,0,0
11.2,0.867236286933488,0.867236286933488,0,0,0
11.3,0.330126937444809,0.330126937444809,0,0,0
11.4,-0.670849577511351,-0.670849577511351,0,0,0
11.5,0.452197244146789,0.452197244146789,0,0,0
11.6,-1.40327141772318,-1.40327141772318,0,0,0
11.7,-0.695263638851749,-0.695263638851749,0,0,0
11.8,0.23247069208324,0.23247069208324,0,0,0
11.9,-0.109326166682284,-0.109326166682284,0,0,0
12,-0.0360839826611017,-0.0360839826611017,0,0,0
