"s","condition","cell_type","amplitude"
"1","GABAzine sensitive","SPN",-87.3415180682974
"2","GABAzine sensitive","SPN",-125.874932986105
"3","GABAzine sensitive","SPN",-392.515179110436
"4","GABAzine sensitive","SPN",-255.275329671948
"5","GABAzine sensitive","SPN",-60.6012239282369
"6","GABAzine sensitive","SPN",-162.370011819088
"7","GABAzine sensitive","SPN",-207.57742340883
