"s","condition","cell_type","charge_transfer"
"1","GABAzine sensitive","SPN",25.2264129989747
"2","GABAzine sensitive","SPN",48.2722943453304
"3","GABAzine sensitive","SPN",180.896363312112
"4","GABAzine sensitive","SPN",107.831336257306
"5","GABAzine sensitive","SPN",10.7962944001838
"6","GABAzine sensitive","SPN",66.8864671740747
"7","GABAzine sensitive","SPN",54.8321971060253
