"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-88.305,3.935,3.942,3.938,1.544,8.546,11.36,9.635,945.38,-117.851,11.549,97.056,27.905,10.046,135.483,13.294,101.797,15248.338
-88.606,6.407,7.1,6.742,2.642,14.66,25.72,16.507,1625.942,-70.643,7.041,259.004,26.094,8.065,359.056,31.497,208.47,20236.213
-79.712,1.442,31.399,4.655,1.53,43.534,14.273,27.066,2902.916,-210.653,21.857,157.532,50.125,18.26,220.782,27.329,172.395,45616.726
-69.261,2.956,13.383,5.73,2.152,19.235,10.288,16.999,1422.304,-41.612,3.047,186.091,12.738,3.689,257.977,11.467,142.867,8292.307
-132.419,2.72,2.723,2.721,1.067,5.905,14.385,6.658,979.584,-177.149,10.615,90.084,25.732,9.257,125.724,16.978,94.239,21234.36
-51.147,6.279,6.28,6.279,2.461,13.626,22.778,15.362,873.039,-45.042,3.075,117.152,11.494,3.537,162.408,18.579,93.934,5820.659
-101.555,1.565,7.671,3.125,1.168,10.958,10.127,9.478,1170.867,-86.024,8.587,75.015,21.018,7.543,104.633,7.961,77.88,8539.756
-23.844,7.794,8.711,8.236,3.228,17.915,20.381,20.168,534.621,-10.815,6.774,595.574,30.671,8.458,825.641,18.8,445.916,6781.617
-3.217,0.778,2.969,1.412,0.535,4.34,24.68,4.013,15.368,-10.282,18.944,230.012,51.541,17.977,319.489,10.651,220.773,2958.884
-127.557,3.98,3.991,3.986,1.562,8.648,15.773,9.75,1381.94,-272.359,19.267,125.422,42.643,15.649,176.41,12.011,141.436,47992.689
