"s","condition","cell_type","charge_transfer"
"1","GABAzine sensitive","dSPN",16.738859834316
"2","GABAzine sensitive","dSPN",19.6565690487924
"3","GABAzine sensitive","dSPN",48.5548192282701
"4","GABAzine sensitive","dSPN",9.56262566599595
"5","GABAzine sensitive","dSPN",24.3313387292004
"6","GABAzine sensitive","dSPN",8.03380263319979
"7","GABAzine sensitive","dSPN",10.6451864847274
"8","GABAzine sensitive","dSPN",7.91731674086528
"9","GABAzine sensitive","dSPN",1.89105326217818
"10","GABAzine sensitive","dSPN",56.4825152530572
"11","GABAzine sensitive","iSPN",52.7855652698029
"12","GABAzine sensitive","iSPN",47.355111674959
"13","GABAzine sensitive","iSPN",4.24585328163622
"14","GABAzine sensitive","iSPN",16.7440490241083
"15","GABAzine sensitive","iSPN",38.7054646309354
"16","GABAzine sensitive","iSPN",62.9880608885304
