"model","data","parameter","estimate","se","df","t_value","p_value"
"lmer: var ~ Group + (1 | Animal/field)","df_TH","(Intercept)",7.07016127533902,0.355174327168742,36.4945280185454,19.9061720809005,3.45313434672146e-21
"lmer: var ~ Group + (1 | Animal/field)","df_TH","Group1",1.01748954615204,0.355174327168742,36.4945280153635,2.86476095911243,0.00688157120496994
