"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Lesioned","TH+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,1,4,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",4
"Lesioned","TH+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,2,5,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",5
"Lesioned","TH+","L1.ST8_C","L1.ST8_C.L_60x.04","L",4,1,5,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",5
"Lesioned","TH+","L1.ST8_C","L1.ST8_C.L_60x.04","L",4,2,3,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",3
"Lesioned","TH+","L1.ST8_C","L1.ST8_C.L_60x.04","L",4,3,6,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",6
"Lesioned","TH+","L1.ST8_C","L1.ST8_C.L_60x.05","L",5,1,4,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",4
"Lesioned","TH+","L2.ST8","L2.ST8.L_60x04","L",4,1,1,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",1
"Lesioned","TH+","L3.ST6c","L3.ST6c.L_60x01","L",1,1,8,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",8
"Lesioned","TH+","L3.ST6c","L3.ST6c.L_60x04","L",4,1,9,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",9
"Lesioned","TH+","L3.ST6c","L3.ST6c.L_60x06","L",6,1,14,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",14
"Lesioned","TH+","L3.ST6c","L3.ST6c.L_60x06","L",6,2,2,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",2
"Lesioned","TH+","L3.ST6c","L3.ST6c.L_60x06","L",6,3,5,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",5
"Lesioned","TH+","L3.ST6c","L3.ST6c.L_60x07","L",7,1,6,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",6
"Lesioned","TH+","L3.ST6c","L3.ST6c.L_60x07","L",7,2,3,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",3
"Lesioned","TH+","L3.ST6d","L3.ST6d.L_60x01","L",1,1,11,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",11
"Lesioned","TH+","L3.ST6d","L3.ST6d.L_60x01","L",1,2,5,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",5
"Lesioned","TH+","L3.ST6d","L3.ST6d.L_60x01","L",1,3,7,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",7
"Lesioned","TH+","L3.ST6d","L3.ST6d.L_60x02","L",2,1,7,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",7
"Lesioned","TH+","L3.ST6d","L3.ST6d.L_60x04","L",4,1,5,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",5
"Lesioned","TH+","L3.ST6d","L3.ST6d.L_60x05","L",5,1,6,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",6
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x01","L",1,1,2,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",2
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x02","L",2,1,5,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",5
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x02","L",2,2,6,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",6
