"parameter","comparison","contrast","n","test","alternative","test stat","stat","p value","p adjusted"
"amplitude","within condition (unpaired)","control vs 6OHDA","7 vs 11","Wilcoxon rank sum exact test","two.sided","W",17,0.0555555555555556,0.0555555555555556
"charge_transfer","within condition (unpaired)","control vs 6OHDA","7 vs 11","Wilcoxon rank sum exact test","two.sided","W",68,0.00590749120160885,0.00590749120160885
