"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x01","UL",1,2,12,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",12
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x01","UL",1,3,24,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",24
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x02","UL",2,1,20,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",20
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x02","UL",2,2,41,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",41
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x02","UL",2,3,27,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",27
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x02","UL",2,4,21,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",21
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x02","UL",2,5,20,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",20
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x03","UL",3,1,29,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",29
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x04","UL",4,1,16,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",16
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x04","UL",4,2,25,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",25
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x04","UL",4,3,9,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",9
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x05","UL",5,1,16,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",16
"Intact","NDNF+","L3.ST6d","L3.ST6d.UL_60x05","UL",5,2,19,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",19
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x01","UL",1,1,31,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",31
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x01","UL",1,2,25,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",25
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x01","UL",1,3,28,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",28
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x01","UL",1,4,23,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",23
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x02","UL",2,1,15,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",15
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x02","UL",2,2,20,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",20
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x02","UL",2,3,23,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",23
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x02","UL",2,4,19,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",19
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x02","UL",2,5,22,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",22
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x03","UL",3,1,53,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",53
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x04","UL",4,1,21,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",21
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x04","UL",4,2,23,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",23
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x05","UL",5,1,9,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",9
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x05","UL",5,2,25,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",25
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x06","UL",6,1,33,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",33
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x07","UL",7,1,20,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",20
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x07","UL",7,2,31,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",31
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x07","UL",7,3,26,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",26
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x07","UL",7,4,18,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",18
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x08","UL",8,1,22,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",22
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x08","UL",8,2,19,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",19
"Intact","NDNF+","L4.ST8.C","L4.ST8.C.UL_60x08","UL",8,3,19,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",19
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.01","L",1,1,15,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",15
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.01","L",1,2,16,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",16
