"s","condition","cell_type","amplitude"
"1","control","dSPN",-41.0547872752626
"2","control","dSPN",-54.7598240592041
"3","control","dSPN",-161.219627352244
"4","control","dSPN",-181.690360022515
"5","control","dSPN",-161.254468252282
"6","control","dSPN",-17.1652213526645
"7","control","dSPN",-49.1358619239843
"8","control","dSPN",-23.1068348399843
"9","control","dSPN",-22.0469960231364
"10","control","dSPN",-91.1868242821395
"11","control","dSPN",-24.8091215429841
"12","control","dSPN",-120.028143713031
"13","control","dSPN",-105.657953965891
"14","control","iSPN",-34.6402266261619
"15","control","iSPN",-69.0726132963754
"16","control","iSPN",-48.1347938562981
"17","control","iSPN",-39.0350933607763
"18","control","iSPN",-218.706996447912
"19","control","iSPN",-64.6274790267136
"20","6OHDA","dSPN",-48.9576087586227
"21","6OHDA","dSPN",-60.7301403446398
"22","6OHDA","dSPN",-110.829706649934
"23","6OHDA","dSPN",-51.1995621840367
"24","6OHDA","dSPN",-10.6772608453964
"25","6OHDA","dSPN",-58.1909457224065
"26","6OHDA","dSPN",-273.031871797307
"27","6OHDA","dSPN",-99.2161004307173
"28","6OHDA","iSPN",-55.4315037148011
"29","6OHDA","iSPN",-283.373501351679
"30","6OHDA","iSPN",-38.940956809258
"31","6OHDA","iSPN",-80.0485038883298
"32","6OHDA","iSPN",-159.42955785719
"33","6OHDA","iSPN",-338.630761910694
"34","6OHDA","iSPN",-81.1911887705786
"35","6OHDA","iSPN",-493.49035335083
"36","6OHDA","iSPN",-58.2850314112971
