"x","y","yfilter","yfit","yfit1","yfit2"
0,-0.429473856554216,-0.429473856554216,0,0,0
0.1,0.302947983657618,0.302947983657618,0,0,0
0.2,0.577606173737054,0.577606173737054,0,0,0
0.3,0.547088597061561,0.547088597061561,0,0,0
0.4,0.18087767695564,0.18087767695564,0,0,0
0.5,-0.429473856554216,-0.429473856554216,0,0,0
0.6,-0.337921126527738,-0.337921126527738,0,0,0
0.7,-0.582061739931677,-0.582061739931677,0,0,0
0.8,0.0588073702536762,0.0588073702536762,0,0,0
0.9,-0.368438703203227,-0.368438703203227,0,0,0
1,-0.490509009905202,-0.490509009905202,0,0,0
1.1,-0.185333243150267,-0.185333243150267,0,0,0
1.2,-1.55862419354745,-1.55862419354745,0,0,0
1.3,-1.58914177022294,-1.58914177022294,0,0,0
1.4,-0.948272660037594,-0.948272660037594,0,0,0
1.5,-0.093780513123795,-0.093780513123795,0,0,0
1.6,0.97433467051846,0.97433467051846,0,0,0
1.7,0.882781940491982,0.882781940491982,0,0,0
1.8,0.241912830306633,0.241912830306633,0,0,0
1.9,-0.215850819825767,-0.215850819825767,0,0,0
2,-0.0632629364482951,-0.0632629364482951,0,0,0
2.1,0.272430406982126,0.272430406982126,0,0,0
2.2,-1.13137812009055,-1.13137812009055,0,0,0
2.3,-0.856719930011116,-0.856719930011116,0,0,0
2.4,-0.276885973176752,-0.276885973176752,0,0,0
2.5,-0.582061739931673,-0.582061739931673,0,0,0
2.6,-0.734649623309137,-0.734649623309137,0,0,0
2.7,-0.490509009905195,-0.490509009905195,0,0,0
2.8,0.241912830306636,0.241912830306636,0,0,0
2.9,1.24899286059789,1.24899286059789,0,0,0
3,0.699676480439025,0.699676480439025,0,0,0
3.1,0.486053443710579,0.486053443710579,0,0,0
3.2,0.852264363816489,0.852264363816489,0,0,0
3.3,0.180877676955647,0.180877676955647,0,0,0
3.4,-0.0632629364482951,-0.0632629364482951,0,0,0
3.5,1.12692255389593,1.12692255389593,0,0,0
3.6,1.67623893405479,1.67623893405479,0,0,0
3.7,0.669158903763532,0.669158903763532,0,0,0
3.8,0.150360100280151,0.150360100280151,0,0,0
3.9,-0.215850819825763,-0.215850819825763,0,0,0
4,0.119842523604661,0.119842523604661,0,0,0
4.1,1.15744013057142,1.15744013057142,0,0,0
4.2,1.61520378070382,1.61520378070382,0,0,0
4.3,0.943817093842968,0.943817093842968,0,0,0
4.4,0.821746787140996,0.821746787140996,0,0,0
4.5,1.43209832065086,1.43209832065086,0,0,0
4.6,1.85934439410775,1.85934439410775,0,0,0
4.7,0.943817093842968,0.943817093842968,0,0,0
4.8,0.0282897935781834,0.0282897935781834,0,0,0
4.9,0.638641327088043,0.638641327088043,0,0,0
5,1.27951043727339,1.27951043727339,0,0,0
5.1,0.455535867035079,0.455535867035079,0,0,0
5.2,-0.765167199984634,-0.765167199984634,0,0,0
5.3,-1.10086054341506,-1.10086054341506,0,0,0
5.4,-0.124298089799278,-0.124298089799278,0,0,0
5.5,0.0282897935781834,0.0282897935781834,0,0,0
5.6,0.0893249469291655,0.0893249469291655,0,0,0
5.7,1.00485224719395,1.00485224719395,0,0,0
5.8,1.15744013057142,1.15744013057142,0,0,0
5.9,0.3639831370086,0.3639831370086,0,0,0
6,0.180877676955644,0.180877676955644,0,0,0
6.1,1.06588740054493,1.06588740054493,0,0,0
6.2,1.27951043727339,1.27951043727339,0,0,0
6.3,0.150360100280151,0.150360100280151,0,0,0
6.4,-0.459991433229702,-0.459991433229702,0,0,0
6.5,-0.643096893282663,-0.643096893282663,0,0,0
6.6,-0.21585081982576,-0.21585081982576,0,0,0
6.7,0.882781940491982,0.882781940491982,0,0,0
6.8,1.85934439410776,1.85934439410776,0,0,0
6.9,1.40158074397536,1.40158074397536,0,0,0
7,0.150360100280147,0.150360100280147,0,0,0
7.1,-0.18533324315027,-0.18533324315027,0,0,0
7.2,-0.185333243150274,-0.185333243150274,0,0,0
7.3,-0.887237506686602,-0.887237506686602,0,0,0
7.4,-0.765167199984627,-0.765167199984627,0,0,0
7.5,-0.459991433229706,-0.459991433229706,0,0,0
7.6,-0.124298089799285,-0.124298089799285,0,0,0
7.7,-0.215850819825763,-0.215850819825763,0,0,0
7.8,-1.00930781338858,-1.00930781338858,0,0,0
7.9,-0.734649623309134,-0.734649623309134,0,0,0
8,0.241912830306633,0.241912830306633,0,0,0
8.1,0.363983137008608,0.363983137008608,0,0,0
8.2,-0.276885973176749,-0.276885973176749,0,0,0
8.3,-0.246368396501256,-0.246368396501256,0,0,0
8.4,-0.368438703203224,-0.368438703203224,0,0,0
8.5,-0.459991433229709,-0.459991433229709,0,0,0
8.6,-0.948272660037591,-0.948272660037591,0,0,0
8.7,-1.07034296673957,-1.07034296673957,0,0,0
8.8,-0.948272660037591,-0.948272660037591,0,0,0
8.9,0.363983137008604,0.363983137008604,0,0,0
9,0.669158903763532,0.669158903763532,0,0,0
9.1,-0.0937805131237915,-0.0937805131237915,0,0,0
9.2,-0.0632629364482986,-0.0632629364482986,0,0,0
9.3,-0.337921126527734,-0.337921126527734,0,0,0
9.4,-0.765167199984634,-0.765167199984634,0,0,0
9.5,-1.34500115681899,-1.34500115681899,0,0,0
9.6,-1.37551873349449,-1.37551873349449,0,0,0
9.7,-1.16189569676604,-1.16189569676604,0,0,0
9.8,-0.887237506686602,-0.887237506686602,0,0,0
9.9,-0.948272660037594,-0.948272660037594,0,0,0
10,-1.13137812009055,-1.13137812009055,0,0,0
10.1,-1.03982539006407,-1.03982539006407,0,0,0
10.2,-0.643096893282659,-0.643096893282659,0,0,0
10.3,-0.58206173993168,-0.58206173993168,0,0,0
10.4,-0.307403549852238,-0.307403549852238,0,0,0
10.5,0.302947983657615,0.302947983657615,0,0,0
10.6,-0.521026586580691,-0.521026586580691,0,0,0
10.7,-0.612579316607173,-0.612579316607173,0,0,0
10.8,-0.521026586580688,-0.521026586580688,0,0,0
10.9,-0.61257931660717,-0.61257931660717,0,0,0
11,-0.978790236713084,-0.978790236713084,0,0,0
11.1,-0.948272660037591,-0.948272660037591,0,0,0
11.2,-0.246368396501249,-0.246368396501249,0,0,0
11.3,0.425018290359593,0.425018290359593,0,0,0
11.4,0.425018290359597,0.425018290359597,0,0,0
11.5,0.608123750412547,0.608123750412547,0,0,0
11.6,1.2489928605979,1.2489928605979,0,0,0
11.7,1.2489928605979,1.2489928605979,0,0,0
11.8,1.06588740054493,1.06588740054493,0,0,0
11.9,-0.124298089799288,-0.124298089799288,0,0,0
12,-0.978790236713084,-0.978790236713084,0,0,0
12.1,-2.01638784367984,-2.01638784367984,0,0,0
12.2,-1.58914177022294,-1.58914177022294,0,0,0
12.3,-0.429473856554213,-0.429473856554213,0,0,0
12.4,0.21139525363114,0.21139525363114,0,0,0
12.5,0.241912830306629,0.241912830306629,0,0,0
12.6,-0.307403549852242,-0.307403549852242,0,0,0
12.7,-0.0327453597728023,-0.0327453597728023,0,0,0
12.8,0.852264363816493,0.852264363816493,0,0,0
12.9,1.2489928605979,1.2489928605979,0,0,0
13,0.97433467051846,0.97433467051846,0,0,0
13.1,0.394500713684093,0.394500713684093,0,0,0
13.2,-0.21585081982576,-0.21585081982576,0,0,0
13.3,0.241912830306636,0.241912830306636,0,0,0
13.4,-0.215850819825763,-0.215850819825763,0,0,0
13.5,-1.31448358014351,-1.31448358014351,0,0,0
13.6,-1.43655388684548,-1.43655388684548,0,0,0
13.7,-1.00930781338858,-1.00930781338858,0,0,0
13.8,-0.765167199984634,-0.765167199984634,0,0,0
13.9,0.302947983657615,0.302947983657615,0,0,0
14,-0.368438703203224,-0.368438703203224,0,0,0
14.1,-1.43655388684547,-1.43655388684547,0,0,0
14.2,-0.887237506686605,-0.887237506686605,0,0,0
14.3,0.394500713684097,0.394500713684097,0,0,0
14.4,0.241912830306633,0.241912830306633,0,0,0
14.5,-0.307403549852242,-0.307403549852242,0,0,0
14.6,-0.58206173993168,-0.58206173993168,0,0,0
14.7,-1.25344842679252,-1.25344842679252,0,0,0
14.8,-0.978790236713084,-0.978790236713084,0,0,0
14.9,0.119842523604665,0.119842523604665,0,0,0
15,-0.154815666474774,-0.154815666474774,0,0,0
15.1,-0.582061739931673,-0.582061739931673,0,0,0
15.2,-1.13137812009055,-1.13137812009055,0,0,0
15.3,-1.19241327344153,-1.19241327344153,0,0,0
15.4,-0.368438703203227,-0.368438703203227,0,0,0
15.5,-0.00222778309730946,-0.00222778309730946,0,0,0
15.6,-0.704132046633645,-0.704132046633645,0,0,0
15.7,-0.704132046633648,-0.704132046633648,0,0,0
15.8,-0.551544163256181,-0.551544163256181,0,0,0
15.9,-0.673614469958152,-0.673614469958152,0,0,0
16,-1.34500115681899,-1.34500115681899,0,0,0
16.1,-1.49758904019646,-1.49758904019646,0,0,0
16.2,-0.978790236713084,-0.978790236713084,0,0,0
16.3,-0.124298089799288,-0.124298089799288,0,0,0
16.4,-0.18533324315027,-0.18533324315027,0,0,0
16.5,-1.22293085011703,-1.22293085011703,0,0,0
16.6,-1.07034296673956,-1.07034296673956,0,0,0
16.7,-0.337921126527738,-0.337921126527738,0,0,0
16.8,0.425018290359593,0.425018290359593,0,0,0
16.9,-0.21585081982576,-0.21585081982576,0,0,0
17,-0.459991433229702,-0.459991433229702,0,0,0
17.1,-0.0937805131237879,-0.0937805131237879,0,0,0
17.2,0.211395253631147,0.211395253631147,0,0,0
17.3,0.211395253631143,0.211395253631143,0,0,0
17.4,0.97433467051846,0.97433467051846,0,0,0
17.5,1.00485224719395,1.00485224719395,0,0,0
17.6,0.97433467051846,0.97433467051846,0,0,0
17.7,-0.734649623309137,-0.734649623309137,0,0,0
17.8,-1.68069450024942,-1.68069450024942,0,0,0
17.9,-1.00930781338858,-1.00930781338858,0,0,0
18,-0.459991433229709,-0.459991433229709,0,0,0
18.1,-0.18533324315027,-0.18533324315027,0,0,0
18.2,0.516571020386072,0.516571020386072,0,0,0
18.3,1.15744013057142,1.15744013057142,0,0,0
18.4,0.791229210465503,0.791229210465503,0,0,0
18.5,0.791229210465503,0.791229210465503,0,0,0
18.6,-0.0937805131237843,-0.0937805131237843,0,0,0
18.7,-0.368438703203224,-0.368438703203224,0,0,0
18.8,-1.19241327344153,-1.19241327344153,0,0,0
18.9,-1.03982539006407,-1.03982539006407,0,0,0
19,-0.795684776660127,-0.795684776660127,0,0,0
19.1,-1.10086054341506,-1.10086054341506,0,0,0
19.2,-0.490509009905195,-0.490509009905195,0,0,0
19.3,-0.673614469958155,-0.673614469958155,0,0,0
19.4,-0.276885973176749,-0.276885973176749,0,0,0
19.5,-0.0632629364482986,-0.0632629364482986,0,0,0
19.6,-0.459991433229702,-0.459991433229702,0,0,0
19.7,-0.795684776660123,-0.795684776660123,0,0,0
19.8,-0.39895627987872,-0.39895627987872,0,0,0
19.9,-0.398956279878713,-0.398956279878713,0,0,0
20,-0.490509009905199,-0.490509009905199,0,0,0
20.1,0.3945007136841,0.3945007136841,0,0,0
20.2,0.669158903763532,0.669158903763532,0,0,0
20.3,0.241912830306629,0.241912830306629,0,0,0
20.4,-0.673614469958159,-0.673614469958159,0,0,0
20.5,-0.61257931660717,-0.61257931660717,0,0,0
20.6,0.21139525363114,0.21139525363114,0,0,0
20.7,0.699676480439029,0.699676480439029,0,0,0
20.8,0.486053443710575,0.486053443710575,0,0,0
20.9,0.821746787140996,0.821746787140996,0,0,0
21,1.06588740054494,1.06588740054494,0,0,0
21.1,1.15744013057141,1.15744013057141,0,0,0
21.2,0.302947983657622,0.302947983657622,0,0,0
21.3,-0.0632629364482951,-0.0632629364482951,0,0,0
21.4,0.3639831370086,0.3639831370086,0,0,0
21.5,0.821746787140996,0.821746787140996,0,0,0
21.6,0.943817093842968,0.943817093842968,0,0,0
21.7,0.97433467051846,0.97433467051846,0,0,0
