"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-36.672,6.523,62.23,16.436,5.856,86.669,6.72,63.177,2971.913,-15.339,20.347,276.321,57.297,19.774,383.542,3.825,259.046,5215.046
-37.024,27.708,59.162,39.533,15.331,96.217,6.835,101.324,4272.994,-27.455,59.497,241.521,110.603,41.787,350.658,4.932,320.232,10482.424
-48.507,9.638,9.66,9.649,3.782,20.937,5.275,23.605,1272.256,-92.606,16.09,111.171,36.363,13.288,156.023,8.568,123.163,14278.678
-9.857,3.183,3.189,3.186,1.249,6.914,13.253,7.795,85.374,-48.987,14.055,131.626,35.199,12.56,183.37,4.138,134.245,8424.807
-7.445,9.234,10.721,9.94,3.895,21.667,6.066,24.361,201.719,-4.769,34.549,39.853,37.075,14.528,80.78,8.501,90.847,481.862
-16.864,3.178,62.249,9.963,3.312,86.315,5.942,54.57,1231.948,-5.829,22.011,497.027,71.789,23.499,689.094,0,426.097,3347.283
-58.909,7.084,10.927,8.73,3.41,19.669,8.634,21.679,1430.995,-251.516,16.411,119.77,37.798,13.757,167.795,5.015,130.601,41302.221
-43.639,19.155,49.441,29.651,11.429,76.9,8.476,78.063,3930.24,-69.25,56.866,183.765,96.592,36.899,274.567,4.844,264.776,21525.759
