"s","cell_type","condition","kinetics","amplitude"
"1","dSPN","ctrl","fast",-20.74
"2","dSPN","ctrl","fast",-40.701
"3","dSPN","ctrl","fast",-123.39
"4","dSPN","ctrl","fast",-179.594
"5","dSPN","ctrl","fast",-138.271
"6","dSPN","ctrl","fast",-15.969
"7","dSPN","ctrl","fast",-31.382
"8","dSPN","ctrl","fast",-16.752
"9","dSPN","ctrl","fast",-20.204
"10","dSPN","ctrl","fast",-19.817
"11","dSPN","ctrl","fast",-6.104
"12","dSPN","ctrl","fast",-73.848
"13","dSPN","ctrl","fast",-76.051
"1","dSPN","ctrl","slow",-20.298
"2","dSPN","ctrl","slow",-11.121
"3","dSPN","ctrl","slow",-32.411
"4","dSPN","ctrl","slow",-37.949
"5","dSPN","ctrl","slow",-66.797
"6","dSPN","ctrl","slow",-2.981
"7","dSPN","ctrl","slow",-20.13
"8","dSPN","ctrl","slow",-10.555
"9","dSPN","ctrl","slow",-6.449
"10","dSPN","ctrl","slow",-86.816
"11","dSPN","ctrl","slow",-22.956
"12","dSPN","ctrl","slow",-44.866
"13","dSPN","ctrl","slow",-32.462
"14","iSPN","ctrl","fast",-24.765
"15","iSPN","ctrl","fast",-38.914
"16","iSPN","ctrl","fast",-44.072
"17","iSPN","ctrl","fast",-32.985
"18","iSPN","ctrl","fast",-191.684
"19","iSPN","ctrl","fast",-41.619
"14","iSPN","ctrl","slow",-18.26
"15","iSPN","ctrl","slow",-29.206
"16","iSPN","ctrl","slow",-2.458
"17","iSPN","ctrl","slow",-8.676
"18","iSPN","ctrl","slow",-62.773
"19","iSPN","ctrl","slow",-22.638
"22","dSPN","6OHDA","fast",-36.672
"23","dSPN","6OHDA","fast",-37.024
"24","dSPN","6OHDA","fast",-48.507
"25","dSPN","6OHDA","fast",-9.857
"26","dSPN","6OHDA","fast",-7.445
"27","dSPN","6OHDA","fast",-16.864
"28","dSPN","6OHDA","fast",-58.909
"29","dSPN","6OHDA","fast",-43.639
"22","dSPN","6OHDA","slow",-15.339
"23","dSPN","6OHDA","slow",-27.455
"24","dSPN","6OHDA","slow",-92.606
"25","dSPN","6OHDA","slow",-48.987
"26","dSPN","6OHDA","slow",-4.769
"27","dSPN","6OHDA","slow",-5.829
"28","dSPN","6OHDA","slow",-251.516
"29","dSPN","6OHDA","slow",-69.25
"28","iSPN","6OHDA","fast",-45.758
"29","iSPN","6OHDA","fast",-183.839
"30","iSPN","6OHDA","fast",-6.016
"31","iSPN","6OHDA","fast",-31.284
"32","iSPN","6OHDA","fast",-159.597
"33","iSPN","6OHDA","fast",-234.01
"34","iSPN","6OHDA","fast",-42.266
"35","iSPN","6OHDA","fast",-440.901
"36","iSPN","6OHDA","fast",-47.117
"28","iSPN","6OHDA","slow",-28.192
"29","iSPN","6OHDA","slow",-96.653
"30","iSPN","6OHDA","slow",-38.008
"31","iSPN","6OHDA","slow",-49.662
"32","iSPN","6OHDA","slow",-56.981
"33","iSPN","6OHDA","slow",-113.134
"34","iSPN","6OHDA","slow",-54.131
"35","iSPN","6OHDA","slow",-150.636
"36","iSPN","6OHDA","slow",-13.979
