"s","condition","cell_type","charge_transfer"
"1","control","dSPN",3.43210647197456
"2","control","dSPN",2.65459136296484
"3","control","dSPN",7.47912069141271
"4","control","dSPN",13.1098070281985
"5","control","dSPN",12.9673143140118
"6","control","dSPN",0.783901357680808
"7","control","dSPN",3.75464991270353
"8","control","dSPN",2.77256180308526
"9","control","dSPN",4.90279198190578
"10","control","dSPN",31.0845518327938
"11","control","dSPN",6.55344382644764
"12","control","dSPN",6.12236931594042
"13","control","dSPN",5.7376020058015
"14","control","iSPN",3.37627658130533
"15","control","iSPN",5.42365748394923
"16","control","iSPN",0.632978051225618
"17","control","iSPN",4.08891440655196
"18","control","iSPN",50.0073740711969
"19","control","iSPN",6.45590215057246
"20","6OHDA","dSPN",8.00960856473229
"21","6OHDA","dSPN",14.8381489136565
"22","6OHDA","dSPN",17.2839354635847
"23","6OHDA","dSPN",10.3259311109045
"24","6OHDA","dSPN",0.817852137900148
"25","6OHDA","dSPN",3.63139914890447
"26","6OHDA","dSPN",44.4620900312025
"27","6OHDA","dSPN",25.3281592217907
"28","6OHDA","iSPN",17.3878516492713
"29","6OHDA","iSPN",19.0574322216452
"30","6OHDA","iSPN",6.96410091117875
"31","6OHDA","iSPN",10.7089341581107
"32","6OHDA","iSPN",12.3565826883767
"33","6OHDA","iSPN",21.3981754267803
"34","6OHDA","iSPN",10.3633368183916
"35","6OHDA","iSPN",81.5268290632328
"36","6OHDA","iSPN",14.9918387719116
