"s","condition","cell_type","charge_transfer"
"1","GABAzine sensitive","ctrl",39.7422890772852
"2","GABAzine sensitive","ctrl",83.6269079583576
"3","GABAzine sensitive","ctrl",19.3408903731936
"4","GABAzine sensitive","ctrl",48.0674212830359
"5","GABAzine sensitive","ctrl",20.9131676030335
"6","GABAzine sensitive","ctrl",72.0434664197644
"7","GABAzine sensitive","ctrl",21.0811442927955
"8","GABAzine sensitive","ctrl",30.6607460263446
"9","GABAzine sensitive","test",2.07866933988164
"10","GABAzine sensitive","test",1.91762144731789
"11","GABAzine sensitive","test",4.48983576825682
"12","GABAzine sensitive","test",3.82122114493044
"13","GABAzine sensitive","test",1.21901087140367
"14","GABAzine sensitive","test",1.30064979338594
