"s","condition","cell_type","amplitude"
"1","GABAzine sensitive","ctrl",-159.218205328166
"2","GABAzine sensitive","ctrl",-228.131410062777
"3","GABAzine sensitive","ctrl",-100.684535012663
"4","GABAzine sensitive","ctrl",-152.16560149648
"5","GABAzine sensitive","ctrl",-65.9029265572789
"6","GABAzine sensitive","ctrl",-265.990148498958
"7","GABAzine sensitive","ctrl",-92.2562212040021
"8","GABAzine sensitive","ctrl",-114.20070258357
"9","GABAzine sensitive","test",-8.5180863467147
"10","GABAzine sensitive","test",-8.97394976907276
"11","GABAzine sensitive","test",-17.1456290684388
"12","GABAzine sensitive","test",-21.3797393816523
"13","GABAzine sensitive","test",-10.198668949183
"14","GABAzine sensitive","test",-4.8777585573814
