"s","condition","cell_type","tau"
"1","fast","ctrl",7.228
"2","fast","ctrl",16.275
"3","fast","ctrl",6.053
"4","fast","ctrl",9.477
"5","fast","ctrl",7.024
"6","fast","ctrl",5.174
"7","fast","ctrl",2.73
"8","fast","ctrl",9.536
"1","slow","ctrl",181.256
"2","slow","ctrl",259.234
"3","slow","ctrl",109.626
"4","slow","ctrl",237.756
"5","slow","ctrl",241.547
"6","slow","ctrl",187.838
"7","slow","ctrl",164.094
"8","slow","ctrl",198.672
"9","fast","test",16.123
"10","fast","test",11.427
"11","fast","test",9.643
"12","fast","test",9.993
"13","fast","test",8.401
"14","fast","test",1.938
"9","slow","test",118.182
"10","slow","test",351.483
"11","slow","test",248.706
"12","slow","test",161.634
"13","slow","test",168.749
"14","slow","test",80.292
