"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-100.262,2.407,7.228,3.968,1.521,10.927,17.439,10.724,1254.885,-148.46,23.715,181.256,55.492,20.126,253.599,14.358,195.086,36547.865
-89.222,2.283,16.275,5.217,1.902,22.818,17.147,17.868,2000.751,-224.536,38.027,259.234,85.538,31.287,363.991,14.334,288.332,80961.666
-44.309,6.049,6.053,6.051,2.372,13.13,20.968,14.803,728.79,-98.728,20.298,109.626,42.012,15.612,155.599,24.37,131.118,15877.832
-71.638,4.324,9.477,6.241,2.418,15.31,15.765,16.048,1311.611,-144.206,23.122,237.756,59.689,21.131,330.783,12.739,237.006,44070.227
-30.31,6.983,7.024,7.004,2.745,15.197,22.551,17.134,577.041,-60.592,24.346,241.547,62.129,22.063,336.214,18.367,242.868,18928.709
-112.088,5.167,5.174,5.171,2.027,11.22,16.033,12.649,1575.402,-255.573,25.873,187.838,59.483,21.657,263.198,18.679,205.132,65891.187
-54.341,2.729,2.73,2.729,1.07,5.922,12.671,6.677,403.156,-88.457,12.766,164.094,35.35,12.264,227.84,15.42,155.596,18004.56
-42.51,9.455,9.536,9.495,3.722,20.604,13.302,23.229,1097.229,-108.88,18.795,198.672,48.951,17.288,276.316,23.355,196.756,27675.17
