"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-12.48,6.041,6.078,6.059,2.375,13.149,10.384,14.824,205.556,-53.077,26.912,276.899,69.487,24.598,385.238,19.517,275.984,18888.979
0,NA,NA,NA,NA,NA,NA,NA,0,-104.272,145.881,145.949,145.915,57.198,316.623,1.332,374.162,41358.18
-13.21,6.387,6.394,6.391,2.505,13.867,5.154,15.634,229.482,-27.725,18.756,133.055,42.778,15.602,186.571,12.826,146.276,5087.855
-5.708,1.087,10.934,2.786,0.988,15.216,3.815,10.956,80.526,-2.411,4.501,423.278,20.672,5.648,586.788,13.059,315.665,1071.68
-13.978,3.41,3.414,3.412,1.338,7.404,5.992,8.348,129.651,-29.445,144.23,144.512,144.371,56.593,313.274,0,369.327,11555.395
-22.285,6.343,6.344,6.344,2.487,13.765,4.363,15.519,384.272,-28.608,19.438,266.53,54.897,18.928,369.934,24.772,249.379,9368.7
-11.396,9.582,9.815,9.698,3.801,21.046,5.664,23.725,300.44,-5.356,62.251,113.101,82.675,32.193,192.663,3.6,208.138,1258.278
-6.091,3.959,4.612,4.269,1.673,9.307,3.736,10.463,70.883,-3.474,28.442,36.264,32.037,12.545,70.347,10.5,78.745,304.736
-0.972,20.145,20.207,20.176,7.909,43.78,4.53,49.358,53.287,-1.444,114.863,115.927,115.393,45.233,250.399,18.086,284.434,453.001
