"s","condition","cell_type","charge_transfer"
"1","control","dSPN",68.3980051067929
"2","control","dSPN",103.043193415975
"3","control","dSPN",40.4047779931274
"4","control","dSPN",214.003300488368
"5","control","dSPN",111.293480420948
"6","control","dSPN",47.0529774858649
"7","control","dSPN",18.031561821444
"8","control","dSPN",23.1219424724088
"9","control","dSPN",10.447296391039
"10","control","dSPN",2.5133908960898
"11","control","iSPN",168.505051249546
"12","control","iSPN",148.410563759127
"13","control","iSPN",30.9463726720705
"14","control","iSPN",67.5085956390836
"15","control","iSPN",46.3092155264989
"16","control","iSPN",38.0393716218644
"17","6OHDA","dSPN",18.6724606480825
"18","6OHDA","dSPN",44.0516690163394
"19","6OHDA","dSPN",5.51806435317414
"20","6OHDA","dSPN",0.577878999400569
"21","6OHDA","dSPN",11.3441453654188
"22","6OHDA","dSPN",10.6802520547862
"23","6OHDA","dSPN",1.39283473918398
"24","6OHDA","dSPN",0.393430834457543
"25","6OHDA","dSPN",0.642494297929011
"26","6OHDA","iSPN",0.185240097401431
"27","6OHDA","iSPN",1.91834619331411
"28","6OHDA","iSPN",3.15688112946212
"29","6OHDA","iSPN",6.12475012015442
"30","6OHDA","iSPN",5.27782503780338
