"s","cell_type","condition","kinetics","tau"
"1","dSPN","ctrl","fast",3.866
"2","dSPN","ctrl","fast",16.579
"3","dSPN","ctrl","fast",2.509
"4","dSPN","ctrl","fast",23.672
"5","dSPN","ctrl","fast",12.237
"6","dSPN","ctrl","fast",6.184
"7","dSPN","ctrl","fast",8.855
"8","dSPN","ctrl","fast",9.152
"9","dSPN","ctrl","fast",5.082
"10","dSPN","ctrl","fast",10.879
"1","dSPN","ctrl","slow",226.401
"2","dSPN","ctrl","slow",136.782
"3","dSPN","ctrl","slow",152.212
"4","dSPN","ctrl","slow",256.724
"5","dSPN","ctrl","slow",141.027
"6","dSPN","ctrl","slow",129.534
"7","dSPN","ctrl","slow",138.627
"8","dSPN","ctrl","slow",339.811
"9","dSPN","ctrl","slow",208.204
"10","dSPN","ctrl","slow",95.482
"11","iSPN","ctrl","fast",25.722
"12","iSPN","ctrl","fast",7.668
"13","iSPN","ctrl","fast",5.154
"14","iSPN","ctrl","fast",4.208
"15","iSPN","ctrl","fast",3.642
"16","iSPN","ctrl","fast",3.372
"11","iSPN","ctrl","slow",223.181
"12","iSPN","ctrl","slow",255.62
"13","iSPN","ctrl","slow",245.407
"14","iSPN","ctrl","slow",306.514
"15","iSPN","ctrl","slow",104.786
"16","iSPN","ctrl","slow",165.569
"17","dSPN","6OHDA","fast",6.078
"18","dSPN","6OHDA","fast",NA
"19","dSPN","6OHDA","fast",6.394
"20","dSPN","6OHDA","fast",10.934
"21","dSPN","6OHDA","fast",3.414
"22","dSPN","6OHDA","fast",6.344
"23","dSPN","6OHDA","fast",9.815
"24","dSPN","6OHDA","fast",4.612
"25","dSPN","6OHDA","fast",20.207
"17","dSPN","6OHDA","slow",276.899
"18","dSPN","6OHDA","slow",145.949
"19","dSPN","6OHDA","slow",133.055
"20","dSPN","6OHDA","slow",423.278
"21","dSPN","6OHDA","slow",144.512
"22","dSPN","6OHDA","slow",266.53
"23","dSPN","6OHDA","slow",113.101
"24","dSPN","6OHDA","slow",36.264
"25","dSPN","6OHDA","slow",115.927
"26","iSPN","6OHDA","fast",20.132
"27","iSPN","6OHDA","fast",NA
"28","iSPN","6OHDA","fast",2.223
"29","iSPN","6OHDA","fast",4.849
"30","iSPN","6OHDA","fast",22.066
"26","iSPN","6OHDA","slow",NA
"27","iSPN","6OHDA","slow",239.117
"28","iSPN","6OHDA","slow",108.719
"29","iSPN","6OHDA","slow",219.211
"30","iSPN","6OHDA","slow",125.898
