"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-6.366,1.327,20.132,3.863,1.319,27.93,4.541,18.465,155.26,0,NA,NA,NA,NA,NA,NA,NA,0
0,NA,NA,NA,NA,NA,NA,NA,0,-8.239,1.974,239.117,9.546,2.519,331.487,24.628,175.974,2050.384
-12.837,2.219,2.223,2.221,0.871,4.82,18.845,5.434,77.504,-18.058,24.719,108.719,47.388,17.826,156.642,15.309,139.508,3035.804
-19.727,4.849,4.849,4.849,1.901,10.522,4.213,11.863,260.018,-21.597,20.611,219.211,53.786,18.985,304.86,12.857,216.785,6050.889
-7.15,22.035,22.066,22.05,8.644,47.847,21.671,53.943,428.589,-14.631,125.682,125.898,125.79,49.309,272.955,4.712,313.522,5002.987
