"s","condition","cell_type","amplitude"
"1","control","dSPN",-212.759114650343
"2","control","dSPN",-464.767214252867
"3","control","dSPN",-157.73546614078
"4","control","dSPN",-630.281586274169
"5","control","dSPN",-556.649387623073
"6","control","dSPN",-305.911911739495
"7","control","dSPN",-126.206689562145
"8","control","dSPN",-56.4849826686698
"9","control","dSPN",-45.2895486301119
"10","control","dSPN",-35.9098127475004
"11","control","iSPN",-526.073013749852
"12","control","iSPN",-367.742096791
"13","control","iSPN",-72.6789923161623
"14","control","iSPN",-168.886002720533
"15","control","iSPN",-244.687390721722
"16","control","iSPN",-148.25430610934
"17","6OHDA","dSPN",-56.2169162751523
"18","6OHDA","dSPN",-121.268264096838
"19","6OHDA","dSPN",-32.2472396792758
"20","6OHDA","dSPN",-6.5652666152499
"21","6OHDA","dSPN",-38.4722271765735
"22","6OHDA","dSPN",-30.3166082605592
"23","6OHDA","dSPN",-17.088622235209
"24","6OHDA","dSPN",-7.31585658610921
"25","6OHDA","dSPN",-2.26936838179412
"26","6OHDA","iSPN",-8.33923300234519
"27","6OHDA","iSPN",-10.612365218596
"28","6OHDA","iSPN",-21.7032460394636
"29","6OHDA","iSPN",-24.9923490733438
"30","6OHDA","iSPN",-20.6976308528528
