"time","control","GABAzine"
0,-0.70772294815556,-0.168131502430565
0.1,-2.45739734421715,-0.330891911366529
0.2,-2.6608478553871,-0.452962218068496
0.3,-2.82360826432307,0.482910133313283
0.4,-3.84086082017283,-0.412272115834506
0.5,-1.8063557084733,0.360839826611312
0.6,-1.52152499283537,0.849121053419194
0.7,-0.870483357091524,-0.534342422536478
0.8,-0.544962539219599,0.686360644483239
0.9,-1.31807448166542,1.2967121779931
1,-3.67810041123687,0.971191360121174
1.1,-2.53877754868513,0.767740848951217
1.2,-1.27738437943143,-0.371582013600519
1.3,-1.11462397049547,-0.981933547110376
1.4,-2.29463693528119,-0.249511706898546
1.5,-2.90498846879105,-1.06331375157836
1.6,-3.47464990006692,0.0760091109733795
1.7,-2.86429836655706,1.82568350703497
1.8,-1.3994546861334,0.645670542249244
1.9,-1.52152499283537,0.604980440015255
2,-1.52152499283537,0.238769519909342
2.1,-1.64359529953734,0.889811155653192
2.2,-1.03324376602748,-0.412272115834509
2.3,-0.62634274368758,-0.290201809132534
2.4,-1.60290519730335,-1.02262364934437
2.5,-2.29463693528119,-0.859863240408405
2.6,-2.6608478553871,-0.412272115834509
2.7,-1.11462397049546,0.401529928845302
2.8,-2.7015379576211,0.23876951990934
2.9,-3.59672020676889,0.360839826611316
3,-1.88773591294128,-1.34814446721629
3.1,-2.45739734421715,-2.08056630742812
3.2,-1.3994546861334,-1.47021477391826
3.3,-1.15531407272946,0.11669921320737
3.4,-2.00980621964325,1.62223299586502
3.5,0.79781083450209,2.31396473384286
3.6,0.35021970992819,-0.65641272923845
3.7,-1.23669427719744,-1.59228508062024
3.8,-1.19600417496345,-1.22607416051432
3.9,-0.219441721347672,-1.75504548955619
4,-2.37601713974917,-1.67366528508821
4.1,-0.66703284592157,-0.208821604664555
4.2,0.594360323332135,0.727050746717226
4.3,0.472290016630164,0.523600235547278
4.4,-1.72497550400532,0.564290337781265
4.5,-1.68428540177133,-0.778483035940422
4.6,-0.829793254857531,-1.83642569402418
4.7,-0.463582334751616,-0.330891911366527
4.8,-0.504272436985607,0.0353190087393903
4.9,-0.138061516879694,0.564290337781267
5,-0.78910315262354,0.930501257887182
5.1,-0.585652641453587,-0.575032524770471
5.2,-0.544962539219597,-0.208821604664553
5.3,-0.0159912101777214,-0.900553342642391
5.4,-0.544962539219598,-1.7143553873222
5.5,-0.626342743687578,-3.38264957891582
5.6,-1.15531407272945,-1.3074543649823
5.7,-1.44014478836739,0.442220031079296
