"s","condition","cell_type","amplitude"
"1","ctrl","dSPN",-207.330049129067
"2","ctrl","dSPN",-167.386082097586
"3","ctrl","dSPN",-235.582718972799
"4","ctrl","dSPN",-188.391279859084
"5","ctrl","dSPN",-246.940936158879
"6","ctrl","dSPN",-102.274801744536
"7","ctrl","dSPN",-179.884311085498
"8","ctrl","dSPN",-180.822271397616
"9","ctrl","dSPN",-31.0539184979551
"10","ctrl","dSPN",-323.849366607104
"1","GABAzine","dSPN",-99.4497254451517
"2","GABAzine","dSPN",-91.6931324210048
"3","GABAzine","dSPN",-104.946136277006
"4","GABAzine","dSPN",-101.07754814408
"5","GABAzine","dSPN",-165.512406210657
"6","GABAzine","dSPN",-7.53508288926882
"7","GABAzine","dSPN",-30.131268036264
"8","GABAzine","dSPN",-157.741041482631
"9","GABAzine","dSPN",-23.3941942460147
"10","GABAzine","dSPN",-73.901788130989
"11","ctrl","iSPN",-238.671705690357
"12","ctrl","iSPN",-213.465190247743
"13","ctrl","iSPN",-56.7567359045878
"14","ctrl","iSPN",-312.675213013308
"15","ctrl","iSPN",-217.757169066939
"16","ctrl","iSPN",-234.503099261134
"11","GABAzine","iSPN",-53.7631367597306
"12","GABAzine","iSPN",-33.4957415060812
"13","GABAzine","iSPN",-16.4200224214286
"14","GABAzine","iSPN",-124.203453238214
"15","GABAzine","iSPN",-134.98472283183
"16","GABAzine","iSPN",-39.8622902280812
