"time","control","GABAzine"
0,-1.24130853479078,1.24125970666858
0.1,-2.38876941778931,0.948290970583855
0.2,-2.33994129510852,0.850634725222277
0.3,-2.77939439923562,0.972705031924247
0.4,-2.48642566315089,0.142626946350838
0.5,-1.9737303750026,-0.0770996057127107
0.6,-2.31552723376813,-0.63862301654178
0.7,-3.04794907397996,-0.296826157776258
0.8,-3.04794907397996,0.0205566396488663
0.9,-3.17001938068193,0.460009743775971
1,-3.51181623944745,0.7529784798607
1.1,-2.92587876727798,-0.85834956860533
1.2,-3.36533187140508,0.240283191712416
1.3,-4.12216777295731,-0.296826157776259
1.4,-4.87900367450953,-0.638623016541779
1.5,-4.39072244770164,0.484423805116359
1.6,-4.00009746625534,-0.29682615777626
1.7,-2.8526365832568,-0.858349568605327
1.8,-3.24326156470311,-0.394482403137835
1.9,-3.731542791511,-0.41889646447823
2,-3.36533187140508,-0.0282714830319222
2.1,-3.24326156470311,-0.370068341797442
2.2,-3.82919903687257,-0.150341789733892
2.3,-2.90146470593759,1.63188468811489
2.4,-2.8526365832568,1.33891595203016
2.5,-3.78037091419178,-0.150341789733891
2.6,-3.2676756260435,-0.687451139222569
2.7,-3.19443344202232,-0.24799803509547
2.8,-3.48740217810705,-0.125927728393495
2.9,-3.46298811676666,0.0693847623296548
3,-3.36533187140508,0.118212885010443
3.1,-3.14560531934153,-0.589794893860991
3.2,-2.26669911108734,0.386767559754782
3.3,-2.12021474304497,0.752978479860695
3.4,-2.60849596985286,-0.907177691286118
3.5,-3.02353501263956,0.264697253052809
3.6,-3.51181623944745,0.26469725305281
3.7,-3.46298811676666,0.167041007691232
3.8,-1.998144436343,-0.394482403137837
3.9,-2.77939439923562,0.264697253052809
4,-3.19443344202232,0.191455069031629
4.1,-2.92587876727799,-1.0048339366477
4.2,-2.75498033789522,-1.34663079541321
4.3,-2.70615221521444,-0.296826157776259
4.4,-3.17001938068193,0.899462847903061
4.5,-2.95029282861838,1.04594721594543
4.6,-2.8770506445972,-0.223583973755075
4.7,-3.38974593274548,-0.394482403137833
4.8,-3.56064436212824,-0.663037077882174
4.9,-3.2920896873839,0.435595682435573
5,-2.58408190851246,1.80278311749765
5.1,-1.85166006830063,1.04594721594543
5.2,-1.63193351623708,0.289111314393202
5.3,-1.75400382293906,0.142626946350838
