"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-141.12,1.566,5.357,2.722,1.037,7.939,10.14,7.549,1256.568,-211.089,13.003,100.599,30.553,11.071,140.705,8.138,107.909,28771.237
-78.429,1.852,5.747,3.094,1.184,8.641,10.657,8.414,772.207,-99.447,15.454,100.255,34.163,12.54,141.031,5.007,113.173,14018.046
-143.396,2.038,4.137,2.844,1.104,6.821,8.973,7.245,1179.683,-298.921,12.815,83.32,28.351,10.405,117.197,7.356,93.993,35000.992
-208.987,1.297,4.164,2.198,0.84,6.228,11.636,6.016,1475.159,-241.229,14.317,70.111,28.581,10.685,100.151,4.613,86.655,25424.875
-74.823,1.993,1.994,1.993,0.781,4.325,8.224,4.877,405.432,-143.314,9.403,85.98,23.366,8.354,119.827,2.946,88.223,16169.948
-296.552,22.098,22.139,22.119,8.67,47.995,7.403,54.111,17830.022,-257.915,78.696,78.783,78.739,30.865,170.858,23.757,192.626,55202.948
-99.433,2.688,2.69,2.689,1.054,5.834,11.06,6.578,726.744,-176.352,11.752,105.063,28.985,10.383,146.481,7.18,108.425,24414.292
